title	collection	permalink	date	venue	authors	paperurl	citation
Mirror: Model inversion for deep learning network with high fidelity	publications	mirror-model-inversion-for-deep-learning-network-with-high-fidelity	2022-01-01	Proceedings of the 29th Network and Distributed System Security Symposium	An, Shengwei; Tao, Guanhong; Xu, Qiuling; Liu, Yingqi; Shen, Guangyu; Yao, Yuan; Xu, Jingwei; Zhang, Xiangyu; 		An, Shengwei; Tao, Guanhong; Xu, Qiuling; Liu, Yingqi; Shen, Guangyu; Yao, Yuan; Xu, Jingwei; Zhang, Xiangyu;. (2022). Mirror: Model inversion for deep learning network with high fidelity. Proceedings of the 29th Network and Distributed System Security Symposium
Data quality matters: A case study of obsolete comment detection	publications	data-quality-matters-a-case-study-of-obsolete-comment-detection	2023-06-01	2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)	Xu, Shengbin; Yao, Yuan; Xu, Feng; Gu, Tianxiao; Xu, Jingwei; Ma, Xiaoxing; 		Xu, Shengbin; Yao, Yuan; Xu, Feng; Gu, Tianxiao; Xu, Jingwei; Ma, Xiaoxing;. (2023). Data quality matters: A case study of obsolete comment detection. 2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE). pp. 781-793. IEEE
Lightweight Approaches to DNN Regression Error Reduction: An Uncertainty Alignment Perspective	publications	lightweight-approaches-to-dnn-regression-error-reduction-an-uncertainty-alignment-perspective	2023-06-01	2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)	Li, Zenan; Zhang, Maorun; Xu, Jingwei; Yao, Yuan; Cao, Chun; Chen, Taolue; Ma, Xiaoxing; Lü, Jian; 		Li, Zenan; Zhang, Maorun; Xu, Jingwei; Yao, Yuan; Cao, Chun; Chen, Taolue; Ma, Xiaoxing; Lü, Jian;. (2023). Lightweight Approaches to DNN Regression Error Reduction: An Uncertainty Alignment Perspective. 2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE). pp. 1187-1199. IEEE
Learning with logical constraints but without shortcut satisfaction	publications	learning-with-logical-constraints-but-without-shortcut-satisfaction	2024-01-01	arXiv preprint arXiv:2403.00329	Li, Zenan; Liu, Zehua; Yao, Yuan; Xu, Jingwei; Chen, Taolue; Ma, Xiaoxing; Lü, Jian; 		Li, Zenan; Liu, Zehua; Yao, Yuan; Xu, Jingwei; Chen, Taolue; Ma, Xiaoxing; Lü, Jian;. (2024). Learning with logical constraints but without shortcut satisfaction. arXiv preprint arXiv:2403.00329
Softened symbol grounding for neuro-symbolic systems	publications	softened-symbol-grounding-for-neuro-symbolic-systems	2024-01-01	arXiv preprint arXiv:2403.00323	Li, Zenan; Yao, Yuan; Chen, Taolue; Xu, Jingwei; Cao, Chun; Ma, Xiaoxing; Lü, Jian; 		Li, Zenan; Yao, Yuan; Chen, Taolue; Xu, Jingwei; Cao, Chun; Ma, Xiaoxing; Lü, Jian;. (2024). Softened symbol grounding for neuro-symbolic systems. arXiv preprint arXiv:2403.00323
A Deep Learning Dataloader with Shared Data Preparation	publications	a-deep-learning-dataloader-with-shared-data-preparation	2022-01-01	Advances in Neural Information Processing Systems	Xie, Jian; Xu, Jingwei; Wang, Guochang; Yao, Yuan; Li, Zenan; Cao, Chun; Tong, Hanghang; 		Xie, Jian; Xu, Jingwei; Wang, Guochang; Yao, Yuan; Li, Zenan; Cao, Chun; Tong, Hanghang;. (2022). A Deep Learning Dataloader with Shared Data Preparation. Advances in Neural Information Processing Systems. Vol. 35.0. pp. 17146-17156
Neuro-symbolic learning yielding logical constraints	publications	neuro-symbolic-learning-yielding-logical-constraints	2023-01-01	Advances in Neural Information Processing Systems	Li, Zenan; Huang, Yunpeng; Li, Zhaoyu; Yao, Yuan; Xu, Jingwei; Chen, Taolue; Ma, Xiaoxing; Lu, Jian; 		Li, Zenan; Huang, Yunpeng; Li, Zhaoyu; Yao, Yuan; Xu, Jingwei; Chen, Taolue; Ma, Xiaoxing; Lu, Jian;. (2023). Neuro-symbolic learning yielding logical constraints. Advances in Neural Information Processing Systems. Vol. 36.0. pp. 21635-21657
Advancing transformer architecture in long-context large language models: A comprehensive survey	publications	advancing-transformer-architecture-in-long-context-large-language-models-a-comprehensive-survey	2023-01-01	arXiv preprint arXiv:2311.12351	Huang, Yunpeng; Xu, Jingwei; Lai, Junyu; Jiang, Zixu; Chen, Taolue; Li, Zenan; Yao, Yuan; Ma, Xiaoxing; Yang, Lijuan; Chen, Hao; 		Huang, Yunpeng; Xu, Jingwei; Lai, Junyu; Jiang, Zixu; Chen, Taolue; Li, Zenan; Yao, Yuan; Ma, Xiaoxing; Yang, Lijuan; Chen, Hao;. (2023). Advancing transformer architecture in long-context large language models: A comprehensive survey. arXiv preprint arXiv:2311.12351
Meteora: Multiple-tasks embedded lora for large language models	publications	publications    meteora-multiple-tasks-embedded-lora-for-large-language-models	2025-04-24	International Conference on Learning Representations	Xu, Jingwei; Lai, Junyu; Huang, Yunpeng; 		Xu, Jingwei; Lai, Junyu; Huang, Yunpeng;. (2025). Meteora: Multiple-tasks embedded lora for large language models.  International Conference on Learning Representations 
Programmable and Semantic Connector for DNN Component Integration: a Software Engineering Perspective	publications	programmable-and-semantic-connector-for-dnn-component-integration-a-software-engineering-perspective	2024-06-01	Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings	Xu, Jingwei; Zeng, Zihan; 		Xu, Jingwei; Zeng, Zihan;. (2024). Programmable and Semantic Connector for DNN Component Integration: a Software Engineering Perspective. Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings. pp. 294-295
Symbolic Execution with Test Cases Generated by Large Language Models	publications	symbolic-execution-with-test-cases-generated-by-large-language-models	2024-06-01	2024 IEEE 24th International Conference on Software Quality, Reliability and Security (QRS)	Xu, Jiahe; Xu, Jingwei; Chen, Taolue; Ma, Xiaoxing; 		Xu, Jiahe; Xu, Jingwei; Chen, Taolue; Ma, Xiaoxing;. (2024). Symbolic Execution with Test Cases Generated by Large Language Models. 2024 IEEE 24th International Conference on Software Quality, Reliability and Security (QRS). pp. 228-237. IEEE
Executing Arithmetic: Fine-Tuning Large Language Models as Turing Machines	publications	executing-arithmetic-fine-tuning-large-language-models-as-turing-machines	2024-01-01	arXiv preprint arXiv:2410.07896	Lai, Junyu; Xu, Jiahe; Yang, Yao; Huang, Yunpeng; Cao, Chun; Xu, Jingwei; 		Lai, Junyu; Xu, Jiahe; Yang, Yao; Huang, Yunpeng; Cao, Chun; Xu, Jingwei;. (2024). Executing Arithmetic: Fine-Tuning Large Language Models as Turing Machines. arXiv preprint arXiv:2410.07896
LASER: Script Execution by Autonomous Agents for On-demand Traffic Simulation	publications	laser-script-execution-by-autonomous-agents-for-on-demand-traffic-simulation	2024-01-01	arXiv preprint arXiv:2410.16197	Gao, Hao; Wang, Jingyue; Fang, Wenyang; Xu, Jingwei; Huang, Yunpeng; Chen, Taolue; Ma, Xiaoxing; 		Gao, Hao; Wang, Jingyue; Fang, Wenyang; Xu, Jingwei; Huang, Yunpeng; Chen, Taolue; Ma, Xiaoxing;. (2024). LASER: Script Execution by Autonomous Agents for On-demand Traffic Simulation. arXiv preprint arXiv:2410.16197
SCG-tree: shortcut enhanced graph hierarchy tree for efficient spatial queries on massive road networks	publications	scg-tree-shortcut-enhanced-graph-hierarchy-tree-for-efficient-spatial-queries-on-massive-road-networks	2025-01-01	Frontiers of Computer Science	Cao, Zhuo; Cao, Chun; Xu, Jianqiu; Xu, Jingwei; Chen, Zhefei; Chen, Zi; Ma, Xiaoxing; 		Cao, Zhuo; Cao, Chun; Xu, Jianqiu; Xu, Jingwei; Chen, Zhefei; Chen, Zi; Ma, Xiaoxing;. (2025). SCG-tree: shortcut enhanced graph hierarchy tree for efficient spatial queries on massive road networks. Frontiers of Computer Science. Vol. 19.0. No. 9.0. pp. 1-19. Higher Education Press
FUSION: Fully Integration of Vision-Language Representations for Deep Cross-Modal Understanding	publications	fusion-fully-integration-of-vision-language-representations-for-deep-cross-modal-understanding	2025-01-01	arXiv preprint arXiv:2504.09925	Liu, Zheng; Liu, Mengjie; Chen, Jingzhou; Xu, Jingwei; Cui, Bin; He, Conghui; Zhang, Wentao; 		Liu, Zheng; Liu, Mengjie; Chen, Jingzhou; Xu, Jingwei; Cui, Bin; He, Conghui; Zhang, Wentao;. (2025). FUSION: Fully Integration of Vision-Language Representations for Deep Cross-Modal Understanding. arXiv preprint arXiv:2504.09925
